店名,住所,電話番号,WebサイトURL
ARONA SPA HANARE,日本、〒160-0021 東京都新宿区歌舞伎町２丁目３８−３ K ビル 4階 stella,03-3200-8606,https://www.arona-spa-hanare.com/
高興リラックス空間 新宿東口店 Massage Spa Shinjuku 新宿マッサージ,日本、〒160-0022 東京都新宿区新宿３丁目２３−１２ パンドラビル 4F,03-3355-7308,https://kk-relax.com/shop-en/shinjuku/
モアリフレッシュ 新宿東口本店,日本、〒160-0021 東京都新宿区歌舞伎町１丁目６−６ 橋本ビル 5階,03-6380-2570,https://beauty.hotpepper.jp/kr/slnH000301901/?utm_source=GBP&utm_medium=GBP&utm_term=GBP&utm_content=GBP&utm_campaign=GBP
GENKI foot・body massage Shinjuku,日本、〒160-0021 東京都新宿区歌舞伎町１丁目２−１ ナイシティー新宿 ５Ｆ,03-6841-3660,https://genki20221012.com/
もみの匠 新宿東口店,日本、〒160-0022 東京都新宿区新宿３丁目２３−１１ K'sビル 7階,03-6457-8485,https://mominotakumi.com/shinjuku_e/
